"","ctrl1a_data.Year","ctrl1a_data...2.","trt1a_data...2.","trt2a_data...2.","trt1b_data...2.","trt2b_data...2.","ctrl1a_ctrl1a","ctrl1a_trt1a","ctrl1a_trt2a","ctrl1a_trt1b","ctrl1a_trt2b"
"67",1916,2709.184574,2707.292313,2703.71295,2707.292313,2703.71295,0,-1.89226099999996,-5.47162399999979,-1.89226099999996,-5.47162399999979
"68",1917,2708.932297,2707.00406,2703.38815,2707.00406,2703.38815,0,-1.92823699999963,-5.54414699999961,-1.92823699999963,-5.54414699999961
"69",1918,2708.855993,2706.890204,2703.229389,2706.890204,2703.229389,0,-1.96578900000031,-5.62660400000004,-1.96578900000031,-5.62660400000004
"70",1919,2709.004826,2706.995975,2703.293164,2706.995975,2703.293164,0,-2.00885100000005,-5.71166199999971,-2.00885100000005,-5.71166199999971
"71",1920,2708.96673,2706.919553,2703.176327,2706.919553,2703.176327,0,-2.04717699999992,-5.79040299999997,-2.04717699999992,-5.79040299999997
"72",1921,2708.790942,2706.703917,2702.921435,2706.703917,2702.921435,0,-2.08702500000027,-5.86950699999989,-2.08702500000027,-5.86950699999989
"73",1922,2708.729817,2706.597617,2702.767136,2706.597617,2702.767136,0,-2.13220000000001,-5.96268099999998,-2.13220000000001,-5.96268099999998
"74",1923,2708.589827,2706.420254,2702.544148,2706.420254,2702.544148,0,-2.16957299999967,-6.04567899999984,-2.16957299999967,-6.04567899999984
"75",1924,2708.622455,2706.415503,2702.497425,2706.415503,2702.497425,0,-2.206952,-6.12503000000015,-2.206952,-6.12503000000015
"76",1925,2708.568298,2706.32285,2702.3577,2706.32285,2702.3577,0,-2.24544800000012,-6.21059800000012,-2.24544800000012,-6.21059800000012
"77",1926,2708.394145,2706.111308,2702.100824,2706.111308,2702.100824,0,-2.2828370000002,-6.29332100000011,-2.2828370000002,-6.29332100000011
"78",1927,2708.26251,2705.941842,2701.890396,2705.941842,2701.890396,0,-2.32066799999984,-6.37211400000024,-2.32066799999984,-6.37211400000024
"79",1928,2708.235954,2705.874076,2701.771632,2705.874076,2701.771632,0,-2.36187800000016,-6.46432200000027,-2.36187800000016,-6.46432200000027
"80",1929,2708.172671,2705.776279,2701.633076,2705.776279,2701.633076,0,-2.39639199999965,-6.53959499999974,-2.39639199999965,-6.53959499999974
"81",1930,2708.03902,2705.599732,2701.406882,2705.599732,2701.406882,0,-2.43928800000003,-6.63213799999994,-2.43928800000003,-6.63213799999994
